100,0.019329343,-0.009736263,-5.497999731
107.2267222,0.019274903,-0.010372564,-5.895180022
114.9756995,0.019339453,-0.010958261,-6.320895206
123.2846739,0.019058276,-0.011783815,-6.777665018
132.1941148,0.01937652,-0.012613902,-7.267459175
141.7474163,0.019196073,-0.013582275,-7.790742302
151.9911083,0.019071347,-0.014672371,-8.352919077
162.9750835,0.019358368,-0.016099369,-8.954417873
174.75284,0.019014406,-0.017222325,-9.602727278
187.3817423,0.019081,-0.01921742,-10.29730741
200.9233003,0.019130531,-0.021418859,-11.03985594
215.443469,0.018865892,-0.023259842,-11.83547574
231.01297,0.018751392,-0.025911044,-12.68956817
247.7076356,0.01891692,-0.029042125,-13.60606496
265.6087783,0.018500157,-0.032553259,-14.58845923
284.8035868,0.018867264,-0.036155273,-15.64219216
305.3855509,0.018701866,-0.040420773,-16.77202219
327.4549163,0.01898156,-0.045594506,-17.98180858
351.1191734,0.018910131,-0.05131824,-19.27892761
376.4935807,0.018983104,-0.057998278,-20.67173868
403.7017259,0.018675848,-0.065339741,-22.16444096
432.8761281,0.01916707,-0.073831091,-23.76463579
464.1588834,0.019192672,-0.083539614,-25.48048126
497.7023564,0.018782049,-0.095031034,-27.32118453
533.6699231,0.018348947,-0.107695463,-29.29270527
572.2367659,0.018794793,-0.122685501,-31.41006094
613.5907273,0.018380512,-0.139428333,-33.67860423
657.9332247,0.018719271,-0.159289561,-36.11148043
705.4802311,0.018331565,-0.181603645,-38.72352728
756.4633276,0.01802937,-0.207066185,-41.52116863
811.1308308,0.018055024,-0.236853416,-44.52457736
869.7490026,0.017261593,-0.270350903,-47.7463639
932.6033469,0.017809262,-0.31001549,-51.20197612
1000,0.01706183,-0.355077416,-54.90829228
1072.267222,0.017289087,-0.406913007,-58.88601945
1149.756995,0.01708994,-0.46643732,-63.15157404
1232.846739,0.017088084,-0.536071368,-67.72913842
1321.941148,0.015462871,-0.615852448,-72.64818259
1417.474163,0.016741042,-0.70878893,-77.91790863
1519.911083,0.015944399,-0.81650752,-83.58184543
1629.750835,0.014795787,-0.94022052,-89.65766952
1747.5284,0.014878765,-1.08604843,-96.18110971
1873.817423,0.015799123,-1.254112579,-103.180853
2009.233003,0.013416994,-1.451079255,-110.695098
2154.43469,0.013049483,-1.681115603,-118.7627733
2310.1297,0.012285281,-1.948385181,-127.4100593
2477.076356,0.011590853,-2.262524651,-136.6900588
2656.087783,0.011627088,-2.630809165,-146.6326249
2848.035868,0.010837547,-3.062764674,-157.2919783
3053.855509,0.009510681,-3.570698917,-168.6892269
3274.549163,0.008711603,-4.168350723,179.1300668
3511.191734,0.008166835,-4.873786334,166.1461191
3764.935807,0.006892783,-5.706788173,152.3358579
4037.017259,0.006198965,-6.691101565,137.7078054
4328.761281,0.004604859,-7.85573133,122.3279789
4641.588834,0.001819792,-9.227416821,106.2783893
4977.023564,0.00287201,-10.83752336,89.74147
5336.699231,0.002884922,-12.70267948,72.95217568
5722.367659,-0.003272511,-14.83993949,56.20504318
6135.907273,0.000501784,-17.23731482,39.82636228
6579.332247,0.000578158,-19.86810316,24.08540534
7054.802311,-0.000157951,-22.70966425,9.165642598
7564.633276,-0.002032605,-25.72850175,-4.753254789
8111.308308,-0.005915052,-28.87724956,-17.76102467
8697.490026,-0.006372995,-32.14786739,-29.77444268
9326.033469,-0.002525979,-35.47845973,-40.85951531
10000,-0.007130535,-38.83332734,-51.13537731
10722.67222,-0.003557616,-42.3006447,-61.01760542
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
