Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20000.000000000004,-2.822210414645427,-144.57999209521265
20660.964990878612,-1.8365378037849787,-159.24090429756009
21343.773717715576,-1.2590400549028313,-173.03525568755578
22049.14807774781,-0.97563308680062866,174.65044886755226
22777.833825652306,-0.86088080282585255,163.95157350651675
23530.601361992623,-0.82787901586697421,154.68055710968176
24308.246547722505,-0.82135897905553801,146.56400782388781
25111.591545607022,-0.81516120684740412,139.3348505349056
25941.485689451489,-0.7963486748857751,132.77088340801018
26798.80638205678,-0.76467834699909576,126.72103216002546
27684.460022850453,-0.72154737856519158,121.0397581767335
28599.382966174591,-0.66874948946171686,115.65947959432026
29544.54251124314,-0.61290721003188886,110.51223419527332
30520.937924815964,-0.55643220805492366,105.56600381750285
31529.60149767009,-0.50282855488741174,100.77632802482476
32571.599635985771,-0.45754947066156959,96.14740434895424
33648.033988800809,-0.4193808646369932,91.669002581202164
34760.042612725352,-0.39278735211955512,87.33276742857467
35908.80117514835,-0.37680851974553597,83.150972878040506
37095.524197208011,-0.37115942895032145,79.106386919706992
38321.466337840247,-0.37711937980563937,75.20859961570423
39587.923720262523,-0.3927744237899925,71.459065751095011
40896.235302295827,-0.41824831546803498,67.864088480045439
42247.784291973374,-0.45027850255903645,64.413211508688974
43643.999609932667,-0.49208735129183745,61.130760100871377
45086.357400136927,-0.53838426471690226,57.969514503017493
46576.382590523455,-0.59128914301736146,54.935419979625507
48115.650505228645,-0.64502297033619771,52.052940352609397
49705.788530093974,-0.70119064002489784,49.297938751747822
51348.477833214354,-0.75992022973543305,46.656429428509384
53045.455142347382,-0.82119605641686588,44.149780575800548
54798.514581063035,-0.88166992727992721,41.723859829075828
56609.509565574728,-0.94001437183794934,39.406534396811615
58480.354764257325,-1.0000651734812869,37.192000073882284
60413.028121924071,-1.0573635535130235,35.089541081446157
62409.572951001915,-1.112180437287543,33.045597130349933
64472.100091816726,-1.1643786675737795,31.054932278180743
66602.790144272323,-1.2167588490084038,29.175847087302884
68803.895773282275,-1.2653335822993257,27.34653786573768
71077.744090392254,-1.3100361072230713,25.585790366539328
73426.739114111144,-1.3554332866359453,23.883102336481016
75853.364311551355,-1.3963376903017843,22.22499064187663
78360.185224066183,-1.4349001547897624,20.620871845560856
80949.852179659705,-1.4710408682542933,19.04793854719296
83625.103095037339,-1.5029057338226668,17.526848318831551
86388.766370259065,-1.5322115149151143,16.030824965320662
89243.763879055652,-1.5597863014869748,14.583969830518328
92193.114057970262,-1.5838098179439575,13.152520691649869
95239.935097590118,-1.6070845226572668,11.771346108598948
98387.448239243007,-1.6264953203650387,10.394573336718793
101638.981180644,-1.6446802006899153,9.0244021507735326
104997.97159409274,-1.6576111985919835,7.6898105870214479
108467.97076094085,-1.6678282767062762,6.3648784922639461
112052.64732617213,-1.6755556327031833,5.0678352601610968
115755.79117706546,-1.6805047452221182,3.7621956992295509
119581.31745004022,-1.6864737607023874,2.4543058561570206
123533.27066992108,-1.6841672118561368,1.1594256409863632
127615.82902599852,-1.6803252646010904,-0.12917948913178634
131833.30878940524,-1.6752240358506216,-1.4146484087675901
136190.1688764795,-1.6678314021071068,-2.7187545608292396
140691.01556293943,-1.6577824432324006,-4.0043225011878576
145340.60735385236,-1.6414196731290456,-5.3034972859997964
150143.8600145489,-1.6257440739946967,-6.6223181735421264
155105.85176779865,-1.6021325790280136,-7.9565688543912216
160231.82866274475,-1.5785873889843707,-9.3037993961806009
165527.21012127138,-1.5526333785598738,-10.653303992837753
170997.59466766971,-1.5223954550027563,-12.048919979221154
176648.76584765871,-1.4878377977901498,-13.455524500580225
182486.69834301941,-1.4474013163804527,-14.888767775583858
188517.56428830745,-1.4071578448792434,-16.346305503920291
194747.73979632134,-1.3608362231995836,-17.862966636888753
201183.81169922656,-1.3084207362362907,-19.407032778237351
207832.5845124617,-1.2498770561541734,-20.976607933864273
214701.08762878945,-1.1881898921225282,-22.613010778940151
221796.58275009898,-1.1146190044780406,-24.295464714985854
229126.57156481518,-1.0370728514986967,-26.065674040869965
236698.80367903438,-0.9506624768298938,-27.922557096596506
244521.2848097689,-0.85401223951991068,-29.875873890075141
252602.2852489645,-0.74004846330336049,-31.995215912984563
260950.34860723943,-0.61898108772585525,-34.380763713927536
269574.30084658699,-0.50778742850250946,-37.104267245537898
278483.2596115956,-0.4432311452758112,-40.248870283494327
287686.64386904665,-0.48112451162829301,-43.352003667131072
297194.18386608665,-0.55628603255760067,-45.939384944632195
307015.93141749781,-0.59086920276721877,-48.104258132254543
317162.27053294546,-0.56998395248374434,-50.283248667015556
327643.92839543783,-0.51445983511334048,-52.629013866995912
338471.98670260375,-0.44040502614330174,-55.244068917173408
349657.89338278119,-0.36382699209760383,-58.080068196036365
361213.47469830042,-0.28683872169176056,-61.119668700484716
373150.94774875988,-0.21501638036940787,-64.361715333482266
385482.93338751508,-0.15168891416552555,-67.820978280272811
398222.46956503188,-0.098430014786892145,-71.466486422813219
411383.0251132173,-0.058516324937131103,-75.282450559104277
424978.51398529572,-0.030846971709502794,-79.284590859761195
439023.30996629037,-0.018925460055651617,-83.486945796125028
453532.26186965866,-0.021452024296682391,-87.86174520612434
468520.7092361502,-0.040615867196257434,-92.401147971268401
484004.49855148577,-0.071423110425799227,-97.098377234956786
500000,-0.096266422053748385,-101.91098078632649
